AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202408,2106375,MARANHÃOZINHO,21,MARANHÃO,NE,NORDESTE,24497816.74,201433,4942954.76,5718,22677503.94,120116,4059687.63,23623,5036,99,4917,89
202508,5201207,ANHANGUERA,52,GOIÁS,CO,CENTRO-OESTE,3799811.45,22583,1197209.65,808,3431100.1,12985,803737.78,2087,604,37,579,35
202310,2600401,ÁGUA PRETA,26,PERNAMBUCO,NE,NORDESTE,39905094.17,322373,2452818.61,4441,39588407.96,226075,2319420.12,14724,12040,185,12313,170
202410,5218706,RIANÁPOLIS,52,GOIÁS,CO,CENTRO-OESTE,28898414.9,88233,6663873.01,5763,23183037.04,60433,8243726.04,14313,2635,203,2646,178
202409,3508207,BURITIZAL,35,SÃO PAULO,SE,SUDESTE,15443318.27,62492,10358711.52,6764,17435028.04,34606,16222050.93,17557,2430,270,2348,237
202312,5008305,TRÊS LAGOAS,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,544528166.2,2692481,549251831.38,239202,534493286.32,1652720,463669858.78,1264617,80643,6081,80471,5797
202506,3304557,RIO DE JANEIRO,33,RIO DE JANEIRO,SE,SUDESTE,35366514996.96,188352179,105390521869.81,14247098,35515998249.38,121177076,114877187756.09,70192886,4834234,362612,4731251,340383
202501,2210904,SOCORRO DO PIAUÍ,22,PIAUÍ,NE,NORDESTE,9759333.1,77814,796754.33,1309,8016996.72,44124,1504473.76,4301,2361,51,2354,42
202503,2310407,PARAMOTI,23,CEARÁ,NE,NORDESTE,24634718.59,218356,3465768.89,4055,22932678.23,152578,3296550.17,18861,6011,137,5796,127
202507,5107800,SANTO ANTÔNIO DO LEVERGER,51,MATO GROSSO,CO,CENTRO-OESTE,56978835.69,391360,32449688.38,21457,57256609.83,226462,25644688.4,57645,9008,575,8858,542
202509,3107406,BOM DESPACHO,31,MINAS GERAIS,SE,SUDESTE,34617968.83,132911,16656589.73,11088,34421152.17,81066,16862670.65,33645,23894,2017,19132,1951
202411,2906600,CANDIBA,29,BAHIA,NE,NORDESTE,27615493.13,163912,6265259.49,4825,27106381.18,94897,7622160.29,19263,5923,238,5713,240
202407,3525003,JANDIRA,35,SÃO PAULO,SE,SUDESTE,483107289.73,2818746,565240440.29,183389,509824465.74,1783325,614972369.68,396792,85862,5283,85649,4906
202406,5221908,VARJÃO,52,GOIÁS,CO,CENTRO-OESTE,12552883.37,50641,2615175.22,1864,13506602.53,36722,3294726.0,5043,1824,72,1914,66
202506,2805703,PROPRIÁ,28,SERGIPE,NE,NORDESTE,96405218.92,671180,54792926.19,29863,91102618.32,447797,59115921.86,149534,17382,760,17537,742
202506,2208601,PRATA DO PIAUÍ,22,PIAUÍ,NE,NORDESTE,6616650.37,69159,645339.23,1424,5978079.23,41236,727144.58,5882,1769,52,1725,51
202312,3120904,CURVELO,31,MINAS GERAIS,SE,SUDESTE,272806116.94,1272968,135914674.57,91422,286337599.58,881207,110002185.89,231619,44785,3414,45782,3178
202306,2106003,LIMA CAMPOS,21,MARANHÃO,NE,NORDESTE,17695805.99,127551,4044430.36,4166,17182054.94,96218,4369080.51,11134,5071,165,5085,141
202507,2905008,CACULÉ,29,BAHIA,NE,NORDESTE,66747300.43,393535,69862059.62,34163,65022420.02,223033,66955402.07,186511,11651,1093,11488,1005
202502,3145109,NOVA RESENDE,31,MINAS GERAIS,SE,SUDESTE,52990921.18,172611,21867312.44,10287,57993347.09,96825,28563807.82,43822,8233,624,7606,594
