AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202409,5000203,ÁGUA CLARA,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,67893381.61,402913,50026323.75,36521,65838020.16,223632,48869338.94,119626,11285,970,11014,887
202205,1502764,CUMARU DO NORTE,15,PARÁ,NO,NORTE,18819079.85,35299,7399183.42,2040,16078643.77,25541,9559859.41,6369,2010,104,1962,100
202408,3502002,ANALÂNDIA,35,SÃO PAULO,SE,SUDESTE,13523788.44,69656,11400391.81,5372,14375100.52,38848,8619515.73,14280,2668,224,2623,193
202303,2616506,XEXÉU,26,PERNAMBUCO,NE,NORDESTE,17230363.55,112272,10197350.44,1603,17180003.93,89990,5906451.9,5292,5630,77,5865,59
202110,2616506,XEXÉU,26,PERNAMBUCO,NE,NORDESTE,7691054.62,29905,4182048.55,634,6939704.84,29740,5704977.28,1282,2854,50,3288,52
202502,2616506,XEXÉU,26,PERNAMBUCO,NE,NORDESTE,30161831.57,239223,3152279.15,4199,28990621.9,145536,3864045.15,19745,7533,141,7512,121
202103,5000203,ÁGUA CLARA,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,5891719.88,15230,2974875.92,1950,5780032.28,15411,3213065.14,1908,2627,238,2828,264
202501,2616506,XEXÉU,26,PERNAMBUCO,NE,NORDESTE,30013871.52,243263,3155859.6,3764,28072619.17,146923,4880919.82,21479,7556,138,7588,120
202311,1502764,CUMARU DO NORTE,15,PARÁ,NO,NORTE,24850082.9,94318,9004811.94,5813,23225441.71,53897,11079567.3,17281,3139,139,3071,142
202305,4310603,ITAQUI,43,RIO GRANDE DO SUL,SU,SUL,75339066.0,357473,29103999.87,24958,73033746.83,245356,28917266.03,65998,19142,1109,18756,1120
202408,3519808,ICÉM,35,SÃO PAULO,SE,SUDESTE,24820065.85,157212,10402814.74,10657,25544013.64,87913,9434134.62,22109,4639,331,4610,314
202105,2903607,BIRITINGA,29,BAHIA,NE,NORDESTE,2612673.77,12404,435510.55,310,2757235.11,13066,351335.84,457,1747,43,1993,48
202206,4120150,PORTO BARREIRO,41,PARANÁ,SU,SUL,3263236.28,7916,683382.2,750,3374003.19,4939,491167.12,636,912,44,794,40
202101,3119906,CÓRREGO DO BOM JESUS,31,MINAS GERAIS,SE,SUDESTE,1118228.88,1374,152673.08,117,1124556.79,1486,221981.17,161,340,25,381,31
202111,4120150,PORTO BARREIRO,41,PARANÁ,SU,SUL,2440158.73,4156,308921.01,245,1792549.25,2857,1435055.55,299,638,35,567,34
202407,1502764,CUMARU DO NORTE,15,PARÁ,NO,NORTE,32814277.76,127958,16641615.37,8053,34301968.35,68570,20968362.74,25381,3555,183,3488,175
202409,3519808,ICÉM,35,SÃO PAULO,SE,SUDESTE,24050279.61,151640,8653680.35,10218,23662486.91,84471,7588905.13,23532,4642,342,4518,303
202103,5003256,COSTA RICA,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,11273222.39,25116,11292537.32,3196,12357285.83,23068,6752888.01,3997,4586,447,4748,513
202404,1502764,CUMARU DO NORTE,15,PARÁ,NO,NORTE,28390047.04,118825,10927576.91,6713,29102169.18,64181,14250392.03,22287,3397,165,3302,160
202104,4120150,PORTO BARREIRO,41,PARANÁ,SU,SUL,867486.68,1407,127925.79,106,1077062.07,1049,3943132.76,110,309,18,281,18
202111,5000203,ÁGUA CLARA,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,16407221.56,66229,9704060.21,7732,15139246.45,54057,9722071.61,14338,6016,451,5777,442
202405,1502764,CUMARU DO NORTE,15,PARÁ,NO,NORTE,29884471.04,128130,10237885.51,7116,30045352.61,73685,14403158.54,25406,3475,169,3396,170
202201,2903607,BIRITINGA,29,BAHIA,NE,NORDESTE,6630014.95,39710,1531000.53,1169,6844084.03,34347,1237579.1,2168,3452,85,3758,81
202406,1502764,CUMARU DO NORTE,15,PARÁ,NO,NORTE,28729386.29,123427,12239494.3,7162,29039935.76,69361,17578528.61,24823,3502,171,3442,179
202403,2616506,XEXÉU,26,PERNAMBUCO,NE,NORDESTE,25877034.63,210257,7732179.34,2110,25269599.49,137261,5427012.03,12651,6903,84,6975,72
202212,1502764,CUMARU DO NORTE,15,PARÁ,NO,NORTE,22529747.09,60126,8994279.4,3983,20322252.48,40244,8886876.44,11440,2532,119,2496,117
202308,1303502,PAUINI,13,AMAZONAS,NO,NORTE,10209788.02,84760,1469102.41,1560,8394899.18,54363,1313803.52,3585,4055,92,3781,83
202301,4310603,ITAQUI,43,RIO GRANDE DO SUL,SU,SUL,58437974.06,288109,24578566.03,20730,55450774.31,205887,24715342.06,53703,18063,1068,17650,1057
202305,1502764,CUMARU DO NORTE,15,PARÁ,NO,NORTE,19913800.94,69315,11247749.56,5293,19954823.42,43878,11567798.87,14779,2888,132,2808,135
202501,4120150,PORTO BARREIRO,41,PARANÁ,SU,SUL,8033579.65,40215,962530.81,1553,6867167.29,17112,1527651.04,2768,1573,67,1415,65
202112,4120150,PORTO BARREIRO,41,PARANÁ,SU,SUL,2440071.48,5108,406726.48,314,1740893.3,3509,787155.56,378,682,33,606,37
202409,4120150,PORTO BARREIRO,41,PARANÁ,SU,SUL,7385543.18,35891,1604810.0,1163,5360548.6,16127,1928327.12,2742,1488,74,1345,61
202410,2903607,BIRITINGA,29,BAHIA,NE,NORDESTE,29748161.93,266588,5063393.41,5122,28304961.51,154220,5413254.32,19918,7833,176,7716,156
202501,1700350,ALIANÇA DO TOCANTINS,17,TOCANTINS,NO,NORTE,18299795.64,110726,70998837.67,3814,18036751.93,63394,46640479.88,20660,3299,154,3320,145
202106,4120150,PORTO BARREIRO,41,PARANÁ,SU,SUL,1136084.59,1927,135345.38,108,1488052.3,1636,334129.37,114,456,21,387,20
202409,2903607,BIRITINGA,29,BAHIA,NE,NORDESTE,27236126.64,252770,4631446.6,4260,26375408.1,145552,3821585.51,17195,7742,172,7565,157
202105,4120150,PORTO BARREIRO,41,PARANÁ,SU,SUL,980487.78,1703,145740.14,112,1419065.9,1408,3489630.82,128,390,17,332,21
